TERM,SCHEMA

Photosynthesis,"The process by which green plants and some other organisms use sunlight to synthesize foods with the help of chlorophyll.; The production of glucose and oxygen from carbon dioxide and water.; associated terms: Chloroplast, Light-dependent reactions, Calvin cycle"

Cell Division,"The process by which a parent cell divides into two or more daughter cells. Essential for growth, reproduction, and repair of organisms.; Mitosis and meiosis in eukaryotic cells.; associated terms: Chromosomes, Cytokinesis, Interphase"

Homeostasis,"The ability of an organism or environment to maintain stability in response to changes in external conditions.; Regulation of body temperature in humans.; associated terms: Negative feedback, Thermoregulation, Equilibrium"

Osmosis,"The movement of water molecules through a selectively permeable membrane from an area of lower solute concentration to an area of higher solute concentration.; Absorption of water by plant roots.; associated terms: Diffusion, Semipermeable membrane, Water potential"

Enzyme,"A protein that acts as a catalyst to accelerate a chemical reaction without being consumed in the process.; Breakdown of hydrogen peroxide by catalase.; associated terms: Active site, Substrate, Activation energy"

Mitochondria,"Organelles known as the powerhouses of the cell, where the biochemical processes of respiration and energy production occur.; ATP synthesis during cellular respiration.; associated terms: ATP, Electron transport chain, Cellular respiration"

DNA Replication,"The process by which a double-stranded DNA molecule is copied to produce two identical DNA molecules.; Semi-conservative replication in cells.; associated terms: Helicase, DNA polymerase, Replication fork"

Translation,"The process by which a protein is synthesized from the mRNA template in the ribosome.; Synthesis of polypeptides based on mRNA codons.; associated terms: Ribosome, tRNA, Codon"

Transcription,"The process by which a segment of DNA is copied into mRNA by the enzyme RNA polymerase.; Synthesis of mRNA from a DNA template.; associated terms: RNA polymerase, Promoter, mRNA"

Apoptosis,"A form of programmed cell death that occurs in multicellular organisms, playing a crucial role in growth and development.; Cell death during the formation of fingers and toes in embryos.; associated terms: Caspases, Cell signaling, Programmed cell death"

Immunology,"The study of the immune system and the body's defense mechanisms against pathogens.; The body's response to a viral infection.; associated terms: Antibodies, T-cells, Vaccination"

Ecology,"The branch of biology that deals with the relationships between organisms and their environment.; The study of ecosystems and biodiversity.; associated terms: Ecosystem, Food web, Biotic and abiotic factors"

Hormone,"Chemical substances produced in the body that regulate the activity of cells or organs.; Insulin regulation of blood glucose levels.; associated terms: Endocrine system, Signal transduction, Receptors"

Genotype,"The genetic makeup of an organism, representing the combination of alleles inherited from its parents.; The genotype for eye color in humans.; associated terms: Alleles, Phenotype, Heredity"

Phenotype,"The observable physical or biochemical characteristics of an organism, determined by both genetic makeup and environmental influences.; Flower color in pea plants.; associated terms: Genotype, Expression, Trait"

ATP,"Adenosine triphosphate, the energy currency of the cell, used to store and transfer energy within cells.; Energy release during muscle contraction.; associated terms: Cellular respiration, Phosphate groups, Energy transfer"

Biodiversity,"The variety of life in the world or in a particular habitat or ecosystem.; Species richness in the Amazon rainforest.; associated terms: Species diversity, Ecosystem, Conservation"

Genetic Engineering,"The deliberate modification of the characteristics of an organism by manipulating its genetic material.; Creation of genetically modified crops.; associated terms: CRISPR, Recombinant DNA, Gene therapy"

Evolution,"The process by which different kinds of living organisms are thought to have developed and diversified from earlier forms during the history of the earth.; The transition of fish to amphibians.; associated terms: Natural selection, Speciation, Common descent"

Symbiosis,"A close and often long-term interaction between two different biological species.; Mutualistic relationship between bees and flowers.; associated terms: Mutualism, Parasitism, Commensalism"
